company|weight|company_link
J. M. Smucker Company|0.078442|http://www.google.com/finance?q=SJM
Skyworks Solutions Inc.|0.078071|http://www.google.com/finance?q=SWKS
Expedia Inc.|0.078059|http://www.google.com/finance?q=EXPE
Clorox Company|0.077831|http://www.google.com/finance?q=CLX
Autodesk Inc.|0.077829|http://www.google.com/finance?q=ADSK
Linear Technology Corporation|0.077611|http://www.google.com/finance?q=LLTC
General Growth Properties Inc.|0.077158|http://www.google.com/finance?q=GGP
Agilent Technologies Inc.|0.076165|http://www.google.com/finance?q=A
Genuine Parts Company|0.076118|http://www.google.com/finance?q=GPC
Nielsen Holdings Plc|0.076024|http://www.google.com/finance?q=NLSN
Franklin Resources Inc.|0.076010|http://www.google.com/finance?q=BEN
Realty Income Corporation|0.075633|http://www.google.com/finance?q=O
Martin Marietta Materials Inc.|0.075072|http://www.google.com/finance?q=MLM
Red Hat Inc.|0.074917|http://www.google.com/finance?q=RHT
Digital Realty Trust Inc.|0.074852|http://www.google.com/finance?q=DLR
Equifax Inc.|0.074785|http://www.google.com/finance?q=EFX
Marathon Oil Corporation|0.074390|http://www.google.com/finance?q=MRO
Microchip Technology Incorporated|0.074280|http://www.google.com/finance?q=MCHP
DENTSPLY SIRONA Inc.|0.074093|http://www.google.com/finance?q=XRAY
Hess Corporation|0.073426|http://www.google.com/finance?q=HES
Royal Caribbean Cruises Ltd.|0.072742|http://www.google.com/finance?q=RCL
Alliance Data Systems Corporation|0.072492|http://www.google.com/finance?q=ADS
Macy's Inc|0.072457|http://www.google.com/finance?q=M
Hershey Company|0.072225|http://www.google.com/finance?q=HSY
Essex Property Trust Inc.|0.072178|http://www.google.com/finance?q=ESS
HCP Inc.|0.072093|http://www.google.com/finance?q=HCP
TransDigm Group Incorporated|0.071854|http://www.google.com/finance?q=TDG
Huntington Bancshares Incorporated|0.071596|http://www.google.com/finance?q=HBAN
Twenty-First Century Fox Inc. Class B|0.071586|http://www.google.com/finance?q=FOX
National Oilwell Varco Inc.|0.071226|http://www.google.com/finance?q=NOV
Citrix Systems Inc.|0.071143|http://www.google.com/finance?q=CTXS
Ball Corporation|0.070607|http://www.google.com/finance?q=BLL
Xilinx Inc.|0.070545|http://www.google.com/finance?q=XLNX
Mead Johnson Nutrition Company|0.070318|http://www.google.com/finance?q=MJN
FirstEnergy Corp.|0.069945|http://www.google.com/finance?q=FE
Fastenal Company|0.069863|http://www.google.com/finance?q=FAST
CenturyLink Inc.|0.069675|http://www.google.com/finance?q=CTL
AmerisourceBergen Corporation|0.069100|http://www.google.com/finance?q=ABC
Motorola Solutions Inc.|0.068858|http://www.google.com/finance?q=MSI
Best Buy Co. Inc.|0.068723|http://www.google.com/finance?q=BBY
Invesco Ltd.|0.068601|http://www.google.com/finance?q=IVZ
Republic Services Inc.|0.068313|http://www.google.com/finance?q=RSG
Harris Corporation|0.067957|http://www.google.com/finance?q=HRS
Verisk Analytics Inc|0.067679|http://www.google.com/finance?q=VRSK
Laboratory Corporation of America Holdings|0.067479|http://www.google.com/finance?q=LH
Viacom Inc. Class B|0.067276|http://www.google.com/finance?q=VIAB
WestRock Co.|0.067148|http://www.google.com/finance?q=WRK
American Water Works Company Inc.|0.067112|http://www.google.com/finance?q=AWK
Perrigo Co. Plc|0.066969|http://www.google.com/finance?q=PRGO
Mohawk Industries Inc.|0.066467|http://www.google.com/finance?q=MHK
KLA-Tencor Corporation|0.066405|http://www.google.com/finance?q=KLAC
Whirlpool Corporation|0.066347|http://www.google.com/finance?q=WHR
W.W. Grainger Inc.|0.066275|http://www.google.com/finance?q=GWW
Host Hotels & Resorts Inc.|0.066094|http://www.google.com/finance?q=HST
Henry Schein Inc.|0.065606|http://www.google.com/finance?q=HSIC
Advance Auto Parts Inc.|0.065392|http://www.google.com/finance?q=AAP
Quest Diagnostics Incorporated|0.064917|http://www.google.com/finance?q=DGX
Textron Inc.|0.064541|http://www.google.com/finance?q=TXT
EQT Corporation|0.064323|http://www.google.com/finance?q=EQT
Cimarex Energy Co.|0.064064|http://www.google.com/finance?q=XEC
Entergy Corporation|0.063303|http://www.google.com/finance?q=ETR
Chipotle Mexican Grill Inc.|0.062792|http://www.google.com/finance?q=CMG
L-3 Communications Holdings Inc.|0.062662|http://www.google.com/finance?q=LLL
Loews Corporation|0.062508|http://www.google.com/finance?q=L
Ameren Corporation|0.062265|http://www.google.com/finance?q=AEE
Rockwell Collins Inc.|0.061877|http://www.google.com/finance?q=COL
Akamai Technologies Inc.|0.060912|http://www.google.com/finance?q=AKAM
Church & Dwight Co. Inc.|0.060363|http://www.google.com/finance?q=CHD
Seagate Technology PLC|0.059875|http://www.google.com/finance?q=STX
Eastman Chemical Company|0.059528|http://www.google.com/finance?q=EMN
CarMax Inc.|0.059458|http://www.google.com/finance?q=KMX
ONEOK Inc.|0.058978|http://www.google.com/finance?q=OKE
Cincinnati Financial Corporation|0.058498|http://www.google.com/finance?q=CINF
Waters Corporation|0.058420|http://www.google.com/finance?q=WAT
Dover Corporation|0.058329|http://www.google.com/finance?q=DOV
AMETEK Inc.|0.058081|http://www.google.com/finance?q=AME
CMS Energy Corporation|0.057989|http://www.google.com/finance?q=CMS
Acuity Brands Inc.|0.057929|http://www.google.com/finance?q=AYI
Global Payments Inc.|0.057902|http://www.google.com/finance?q=GPN
Mettler-Toledo International Inc.|0.057841|http://www.google.com/finance?q=MTD
Harley-Davidson Inc.|0.057309|http://www.google.com/finance?q=HOG
Kimco Realty Corporation|0.057232|http://www.google.com/finance?q=KIM
Universal Health Services Inc. Class B|0.057208|http://www.google.com/finance?q=UHS
Hologic Inc.|0.056714|http://www.google.com/finance?q=HOLX
Mattel Inc.|0.056706|http://www.google.com/finance?q=MAT
Cabot Oil & Gas Corporation|0.056683|http://www.google.com/finance?q=COG
Campbell Soup Company|0.056602|http://www.google.com/finance?q=CPB
Comerica Incorporated|0.056517|http://www.google.com/finance?q=CMA
Masco Corporation|0.056186|http://www.google.com/finance?q=MAS
Western Union Company|0.055895|http://www.google.com/finance?q=WU
Coach Inc.|0.055816|http://www.google.com/finance?q=COH
C.H. Robinson Worldwide Inc.|0.055238|http://www.google.com/finance?q=CHRW
XL Group Ltd|0.055033|http://www.google.com/finance?q=XL
SL Green Realty Corp.|0.054990|http://www.google.com/finance?q=SLG
McCormick & Company Incorporated|0.054731|http://www.google.com/finance?q=MKC
Pentair plc|0.054674|http://www.google.com/finance?q=PNR
DaVita Inc.|0.054563|http://www.google.com/finance?q=DVA
NetApp Inc.|0.054488|http://www.google.com/finance?q=NTAP
Kohl's Corporation|0.054411|http://www.google.com/finance?q=KSS
Tesoro Corporation|0.053977|http://www.google.com/finance?q=TSO
Alaska Air Group Inc.|0.053449|http://www.google.com/finance?q=ALK
Unum Group|0.053423|http://www.google.com/finance?q=UNM
LKQ Corporation|0.053355|http://www.google.com/finance?q=LKQ
CenterPoint Energy Inc.|0.052900|http://www.google.com/finance?q=CNP
Foot Locker Inc.|0.052878|http://www.google.com/finance?q=FL
Juniper Networks Inc.|0.052776|http://www.google.com/finance?q=JNPR
Whole Foods Market Inc.|0.052507|http://www.google.com/finance?q=WFM
Tractor Supply Company|0.052226|http://www.google.com/finance?q=TSCO
Cintas Corporation|0.052167|http://www.google.com/finance?q=CTAS
SCANA Corporation|0.052007|http://www.google.com/finance?q=SCG
Federal Realty Investment Trust|0.051983|http://www.google.com/finance?q=FRT
F5 Networks Inc.|0.051352|http://www.google.com/finance?q=FFIV
Snap-on Incorporated|0.051205|http://www.google.com/finance?q=SNA
Interpublic Group of Companies Inc.|0.050965|http://www.google.com/finance?q=IPG
CA Inc.|0.050947|http://www.google.com/finance?q=CA
Hasbro Inc.|0.050779|http://www.google.com/finance?q=HAS
E*TRADE Financial Corporation|0.050715|http://www.google.com/finance?q=ETFC
Mosaic Company|0.050383|http://www.google.com/finance?q=MOS
Centene Corporation|0.050311|http://www.google.com/finance?q=CNC
Expeditors International of Washington Inc.|0.050051|http://www.google.com/finance?q=EXPD
International Flavors & Fragrances Inc.|0.049832|http://www.google.com/finance?q=IFF
Kansas City Southern|0.049792|http://www.google.com/finance?q=KSU
D.R. Horton Inc.|0.049516|http://www.google.com/finance?q=DHI
Hormel Foods Corporation|0.049389|http://www.google.com/finance?q=HRL
Coty Inc. Class A|0.049294|http://www.google.com/finance?q=COTY
Xylem Inc.|0.049040|http://www.google.com/finance?q=XYL
Albemarle Corporation|0.049015|http://www.google.com/finance?q=ALB
Sealed Air Corporation|0.048900|http://www.google.com/finance?q=SEE
Hanesbrands Inc.|0.048371|http://www.google.com/finance?q=HBI
Darden Restaurants Inc.|0.047893|http://www.google.com/finance?q=DRI
Arthur J. Gallagher & Co.|0.047660|http://www.google.com/finance?q=AJG
Brown-Forman Corporation Class B|0.047616|http://www.google.com/finance?q=BF.B
PVH Corp.|0.046479|http://www.google.com/finance?q=PVH
UDR Inc.|0.046450|http://www.google.com/finance?q=UDR
Arconic Inc.|0.046283|http://www.google.com/finance?q=ARNC
